Precio (ARS),Marca,Modelo,Versión,Año,KM,Color,Combustible,Puertas,Transmisión,Motor,Carrocería,Ubicación,Cilindrada
19716000,Renault,Sandero Stepway,1.6 16v Zen,2020,41000,Blanco,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
24800000,Peugeot,208,1.6 Allure At,2024,12235,Gris,Nafta,5,Automática,1.6,Hatchback,Moreno - Bs.As. G.B.A. Oeste,1.6
9424000,Fiat,Mobi,1.0 Trekking,2025,1000,Blanco,Nafta,5,Manual,1.0,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.0
29989900,Volkswagen,Amarok,2.0 Cd Tdi 140cv Trendline,2021,102000,Blanco,Diésel,4,Manual,2.0,Pick-Up,Capital Federal - Capital Federal,2.0
14880000,Renault,Kangoo,Ii Express Confort 5a 1.6 Sce,2022,73000,Gris,Nafta,3,Manual,1.6,Furgón,Vicente López - Bs.As. G.B.A. Norte,1.6
10292000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,1000,Plateado,Nafta,4,Manual,1.3,Sedán,La Matanza - Bs.As. G.B.A. Oeste,1.3
28989900,Volkswagen,Amarok,2.0 Cd Tdi 180cv 4x2 Trendline,2020,95000,Blanco,Diésel,4,Manual,2.0,Pick-Up,Capital Federal - Capital Federal,2.0
23400000,Volkswagen,Vento,1.4 Comfortline 150cv At,2019,106000,Gris,Nafta,4,Automática,1.4,Sedán,Pilar - Bs.As. G.B.A. Norte,1.4
5580000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2024,700,Rojo,Nafta,4,Manual,1.3,Sedán,Nogoyá - Entre Ríos,1.3
21098033,Fiat,Cronos,1.3 Attractive Mt,2023,0,Blanco,Nafta,4,Automática,1.3,Sedán,Lanús - Bs.As. G.B.A. Sur,1.3
5952000,Fiat,Mobi,1.0 Trekking,2025,500,Negro,Nafta,5,Manual,1.0,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.0
13500000,Renault,Duster,1.6 Ph2 4x2 Privilege 110cv,2015,150500,Gris,Nafta,5,Manual,1.6,SUV,José C. Paz - Bs.As. G.B.A. Norte,1.6
9920000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,500,Plateado,Nafta,4,Manual,1.3,Sedán,Capital Federal - Capital Federal,1.3
15705840,Fiat,FASTBACK,1.3 T270 At6,2025,500,Blanco,Nafta,5,Automática,1.3,SUV,Capital Federal - Capital Federal,1.3
13000000,Fiat,Punto,1.6 Sporting,2013,120000,Azul,Nafta,5,Manual,1.6,Hatchback,Avellaneda - Bs.As. G.B.A. Sur,1.6
19840000,Ford,Ecosport,1.5 Se 123cv 4x2,2017,50000,Blanco,Nafta,5,Manual,1.5,SUV,Avellaneda - Bs.As. G.B.A. Sur,1.5
18476000,Smart,Fortwo,1.0 City,2016,50000,Rojo,Nafta,3,Manual,1.0,Coupé,Capital Federal - Capital Federal,1.0
23900000,Ford,Ecosport,1.5 Se 123cv 4x2,2023,71047,Gris,Nafta,5,Manual,1.5,SUV,Pilar - Bs.As. G.B.A. Norte,1.5
26900000,Chevrolet,Cruze,1.4 Lt At Sedan,2023,17169,Plateado,Nafta,4,Automática,1.4,Sedán,Pilar - Bs.As. G.B.A. Norte,1.4
9796000,Chevrolet,Celta,1.4 Ls Aa+dir,2013,127000,Blanco,Nafta,3,Manual,1.4,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.4
15500000,Ford,Fiesta Kinetic,1.6 Design 120cv Titanium,2013,124668,Gris,Nafta,5,Manual,1.6,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.6
5580000,Fiat,Cronos,1.3 Gse Precision Cvt,2025,1000,Blanco,Nafta,4,Automática,1.3,Sedán,Capital Federal - Capital Federal,1.3
10168000,Renault,Sandero,1.6 Authentique 90cv Nac,2018,86435,Plateado,Nafta,5,Manual,1.6,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.6
6200000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,800,Gris,Nafta,4,Manual,1.3,Sedán,San Miguel - Bs.As. G.B.A. Norte,1.3
15300000,Volkswagen,Up!,1.0 Cross Up!,2017,97000,Rojo,Nafta,5,Manual,1.0,Hatchback,San Fernando - Bs.As. G.B.A. Norte,1.0
9672000,Citroën,C4 Lounge,1.6 Exclusive Hdi 115cv Pack,2014,81635,Gris,Diésel,4,Manual,1.6,Sedán,Vicente López - Bs.As. G.B.A. Norte,1.6
21900000,Chevrolet,Onix,1.0 Turbo Premier At,2020,38000,Blanco,Nafta,5,Automática,1.0,Hatchback,Capital Federal - Capital Federal,1.0
33020000,Peugeot,2008,1.0T Allure,2025,1111,Gris,Nafta,5,Automática,1.0,SUV,La Matanza - Bs.As. G.B.A. Oeste,1.0
13020000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,666,Negro,Nafta,4,Manual,1.3,Sedán,Capital Federal - Capital Federal,1.3
24700000,Peugeot,2008,1.0T Active,2025,1111,Azul,Nafta,5,Automática,1.0,SUV,La Matanza - Bs.As. G.B.A. Oeste,1.0
27900000,Fiat,Toro,1.3 T270 Volcano 4X2 At,2025,666,Gris,Nafta,4,Automática,1.3,Pick-Up,San Fernando Del Valle De Catamarca - Catamarca,1.3
26900000,Chevrolet,Tracker,1.2 Turbo Mt argentina,2023,15000,Azul,Nafta,5,Manual,1.2,SUV,Capital Federal - Capital Federal,1.2
30300000,Peugeot,208,1.0T Allure Pack,2025,1111,Azul,Nafta,5,Automática,1.0,Hatchback,La Matanza - Bs.As. G.B.A. Oeste,1.0
8798900,Toyota,Corolla,1.8 Xei Cvt 140cv,2015,98000,Plateado,Nafta/GNC,4,Automática,1.8,Sedán,Capital Federal - Capital Federal,1.8
7500000,Volkswagen,Suran,1.6 Highline 101cv,2015,89000,Blanco,Nafta,5,Manual,1.6,Monovolumen,Capital Federal - Capital Federal,1.6
5570000,Chevrolet,Celta,1.4 Ls Aa+dir,2014,78000,Celeste,Nafta,3,Manual,1.4,Hatchback,Capital Federal - Capital Federal,1.4
9500000,Toyota,Etios,1.5 Sedan X,2022,39000,Blanco,Nafta,4,Manual,1.5,Sedán,Capital Federal - Capital Federal,1.5
19729000,Nissan,Murano,3.5 Exclusive,2018,89000,Naranja,Nafta,5,Automática,3.5,SUV,Capital Federal - Capital Federal,3.5
30900000,Peugeot,208,1.0T Gt,2025,1111,Gris,Nafta,5,Automática,1.0,Hatchback,La Matanza - Bs.As. G.B.A. Oeste,1.0
9628000,Chery,Tiggo 3,1.6 3 Luxury,2017,98000,Plateado,Nafta,5,Manual,1.6,SUV,Capital Federal - Capital Federal,1.6
29800000,Ford,Ranger,2.2 Cd Xl Tdci 150Cv,2023,60000,Blanco,Diésel,4,Manual,2.2,Pick-Up,Lomas De Zamora - Bs.As. G.B.A. Sur,2.2
35100000,Peugeot,2008,1.0T Gt,2025,1111,Gris,Nafta,5,Automática,1.0,SUV,La Matanza - Bs.As. G.B.A. Oeste,1.0
10000000,Fiat,Cronos,1.8 16v Precision At6 Pack Premium,2021,560000,Marrón,Nafta,4,Automática,1.8,Sedán,La Matanza - Bs.As. G.B.A. Oeste,1.8
20956000,Kia,Soul,1.6 Ex 132cv 6at,2016,110000,Azul,Nafta,5,Automática,1.6,SUV,San Isidro - Bs.As. G.B.A. Norte,1.6
10440000,Ford,Ka,1.5 S,2018,68000,Rojo,Nafta,5,Manual,1.5,Hatchback,Pilar - Bs.As. G.B.A. Norte,1.5
56916000,Mercedes-Benz,Clase GLC,2.0 Glc250 300 4matic Atomático,2018,70000,Gris,Nafta,5,Automática,2.0,SUV,Capital Federal - Capital Federal,2.0
7378000,Fiat,Cronos,1.3 Gse Drive Pack Plus,2025,500,Rojo,Nafta,4,Manual,1.3,Sedán,Vicente López - Bs.As. G.B.A. Norte,1.3
21600000,Fiat,Cronos,1.8 16v Precision At6,2021,57000,Gris,Nafta,4,Automática,1.8,Sedán,La Matanza - Bs.As. G.B.A. Oeste,1.8
13100000,Nissan,Kicks,1.6 Advance 120cv At,2017,117000,Naranja,Nafta,5,Automática,1.6,Hatchback,Hurlingham - Bs.As. G.B.A. Oeste,1.6
20799999,Chevrolet,Onix,Chevrolet Onix LT 1.0 Nafta Turbo Manual 5 puertas,2024,1000,Plateado,Nafta,5,Manual,Motor 1.0 nafta Turbo 116cv 160 Nm,Hatchback,Cariló - Bs.As. Costa Atlántica,1.0
20900000,Chevrolet,Onix,Chevrolet Onix LT 1.0 nafta Turbo Manual 5 puertas Hatchback,2024,1000,Gris,Nafta,5,Manual,Motor 1.0 nafta Turbo 116cv 160 Nm,Hatchback,Capital Federal - Capital Federal,1.0
30899999,Chevrolet,Montana,Chevrolet Pick-up Montana Premier 1.2 nanta Turbo Automática,2024,1000,Rojo,Nafta,4,Automática,motor naftero 1.2 turbo 132 CV 190 Nm,Pick-Up,Costa Azul - Bs.As. Costa Atlántica,1.2
34299000,Chevrolet,Tracker,1.2 Premier Turbo At,2024,1000,Blanco,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
56999999,Chevrolet,S10,HIGH COUNTRY 2025 2.8CTDI,2024,1000,Blanco,Diésel,4,Automática secuencial,2.8 CTDI Premier 4x4 AT,Pick-Up,Goya - Corrientes,2.8
29364700,Chevrolet,Tracker,1.2 Turbo At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
30900000,Chevrolet,Spin,1.8 Premier 7As At 105Cv,2024,1000,Gris,Nafta,5,Automática,1.8,Monovolumen,Capital Federal - Capital Federal,1.8
30275200,Chevrolet,Spin,Spin 1.8 Premier 7As At 105cv,2024,1000,Gris,Nafta,5,Automática,1.8,Monovolumen,Capital Federal - Capital Federal,1.8
35135100,Chevrolet,Tracker,1.2 Turbo Premier At,2024,1000,Azul,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
53900000,Chevrolet,S10,2.8 High Country Cd Tdci 200cv Automática,2024,1000,Plateado,Diésel,4,Automática,2.8,Pick-Up,Capital Federal - Capital Federal,2.8
16500000,Peugeot,208,1.6 Gt Thp,2017,100363,Gris,Nafta,5,Manual,1.6,Hatchback,Capital Federal - Capital Federal,1.6
34100000,Ford,Mondeo,2.0 Sel,2021,40000,Blanco,Nafta,4,Automática,2.0,Sedán,Capital Federal - Capital Federal,2.0
31035000,Chevrolet,Tracker,1.2 Turbo Ltz At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Tandil - Buenos Aires Interior,1.2
22200000,Chevrolet,Onix,1.0 Lt,2024,1000,Blanco,Nafta,5,Manual,1.0,Hatchback,Tapalqué - Buenos Aires Interior,1.0
22200000,Chevrolet,Onix,1.0 Lt,2024,1000,Blanco,Nafta,5,Manual,1.0,Hatchback,Tandil - Buenos Aires Interior,1.0
15300000,Fiat,Toro,1.3 T270 Freedom 4X2,2025,1000,Blanco,Nafta,4,Automática,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
14500000,Fiat,Toro,1.3 T270 Freedom 4X2,2025,1000,Blanco,Nafta,4,Automática,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
15000000,Fiat,Toro,1.3 T270 Freedom 4X2,2025,1000,Blanco,Nafta,4,Automática,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
16000000,Fiat,Toro,1.3 T270 Freedom 4X2,2025,1000,Blanco,Nafta,4,Automática,1.3,Pick-Up,Capital Federal - Capital Federal,1.3
31100000,Chevrolet,Tracker,1.2 Turbo Ltz At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Mar Del Plata - Bs.As. Costa Atlántica,1.2
22200000,Chevrolet,Onix plus,1.2 Lt,2024,1000,Blanco,Nafta,4,Manual,1.2,Sedán,Tandil - Buenos Aires Interior,1.2
22200000,Chevrolet,Onix plus,1.2 Lt,2024,1000,Blanco,Nafta,4,Manual,1.2,Sedán,Mar Del Plata - Bs.As. Costa Atlántica,1.2
26500000,Chevrolet,Onix plus,1.0 Turbo Premier Ii At,2024,1000,Blanco,Nafta,4,Automática,1.0,Sedán,Azul - Buenos Aires Interior,1.0
22200000,Chevrolet,Onix plus,1.2 Lt,2024,1000,Blanco,Nafta,4,Manual,1.2,Sedán,Tandil - Buenos Aires Interior,1.2
30360000,Chevrolet,Tracker,1.2 Turbo Ltz At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Cariló - Bs.As. Costa Atlántica,1.2
30360000,Chevrolet,Tracker,1.2 Turbo Ltz At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Cariló - Bs.As. Costa Atlántica,1.2
27900000,Fiat,Toro,2.0 Volcano 4x4 At,2019,84000,Negro,Diésel,4,Automática,2.0,Pick-Up,Capital Federal - Capital Federal,2.0
27802900,Chevrolet,Montana,LTZ 1.2 Turbo,2024,1000,Plateado,Nafta,4,Automática,1.2 Turbo,Pick-Up,Lomas De Zamora - Bs.As. G.B.A. Sur,1.2
35187000,Chevrolet,Tracker,1.2 Rs At6,2024,1000,Blanco,Nafta,5,Automática,1.2,SUV,Ezeiza - Bs.As. G.B.A. Sur,1.2
26500000,Peugeot,208,1.0T Allure Pack,2024,2500,Blanco,Nafta,5,Automática,1.0,Hatchback,Capital Federal - Capital Federal,1.0
22900000,Renault,Duster Oroch,1.6 Dynamique,2021,66000,Negro,Nafta,4,Manual,1.6,SUV,Capital Federal - Capital Federal,1.6
23300000,Peugeot,208,1.6 Feline Tiptronic,2022,51250,Plateado,Nafta,5,Automática,1.6,Hatchback,San Fernando - Bs.As. G.B.A. Norte,1.6
17200000,Ford,Ecosport,1.5 Se 123cv 4x2,2018,91760,Naranja,Nafta,5,Manual,1.5,SUV,San Fernando - Bs.As. G.B.A. Norte,1.5
15300000,Volkswagen,Up!,1.0 Cross Up!,2017,97700,Rojo,Nafta,5,Manual,1.0,Hatchback,San Fernando - Bs.As. G.B.A. Norte,1.0
26000000,Renault,Kangoo,Ii Express Confort 1.5 Dci,2024,26000,Plateado,Diésel,3,Manual,1.5,Furgón,San Fernando - Bs.As. G.B.A. Norte,1.5
14500000,Renault,Sandero Stepway,1.6 Privilege 105cv,2017,103000,Blanco,Nafta,5,Manual,1.6,Hatchback,San Fernando - Bs.As. G.B.A. Norte,1.6
16900000,Renault,Sandero,1.6 Gt Line 105cv,2019,53000,Blanco,Nafta,5,Manual,1.6,Hatchback,San Fernando - Bs.As. G.B.A. Norte,1.6
13020000,Volkswagen,Gol Trend,1.6 Trendline 101cv 3p,2016,88000,Blanco,Nafta,3,Manual,1.6,Hatchback,Vicente López - Bs.As. G.B.A. Norte,1.6
9920000,Fiat,FASTBACK,1.3 T270 At6,2025,500,Negro,Nafta,5,Automática,1.3,SUV,Capital Federal - Capital Federal,1.3
15500000,Fiat,Pulse,1.3 Gse Abarth Turbo 270 At,2025,500,Blanco,Nafta,5,Automática,1.3,SUV,Capital Federal - Capital Federal,1.3
6944000,Fiat,Cronos,1.3 Drive S-design Mt,2025,500,Blanco,Nafta/GNC,4,Manual,1.3,Sedán,Florencio Varela - Bs.As. G.B.A. Sur,1.3
26897000,Chevrolet,Tracker,1.2 Turbo At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
32947000,Chevrolet,Tracker,1.2 Premier Turbo At,2024,1000,Negro,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
26897000,Chevrolet,Tracker,1.2 Turbo At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Caseros - Bs.As. G.B.A. Oeste,1.2
27750000,Chevrolet,Tracker,1.2 Turbo At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Beccar - Bs.As. G.B.A. Norte,1.2
4960000,Fiat,Cronos,1.3 Gse Like,2025,500,Blanco,Nafta/GNC,4,Manual,1.3,Sedán,Caseros - Bs.As. G.B.A. Oeste,1.3
31461000,Chevrolet,Tracker,1.2 Rs At6,2024,1000,Negro,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
30689000,Chevrolet,Tracker,1.2 Ltz Turbo At,2024,1000,Negro,Nafta,5,Automática,1.2,SUV,Capital Federal - Capital Federal,1.2
26897000,Chevrolet,Tracker,1.2 Turbo At,2024,1000,Gris,Nafta,5,Automática,1.2,SUV,Esteban Echeverría - Bs.As. G.B.A. Sur,1.2
